code,province_code,name,capital,type,is_administrative
1101,11,Kabupaten Aceh Selatan,Tapaktuan,regency,False
1102,11,Kabupaten Aceh Tenggara,Kutacane,regency,False
1103,11,Kabupaten Aceh Timur,Idi Rayeuk,regency,False
1104,11,Kabupaten Aceh Tengah,Takengon,regency,False
1105,11,Kabupaten Aceh Barat,Meulaboh,regency,False
1106,11,Kabupaten Aceh Besar,Jantho,regency,False
1107,11,Kabupaten Pidie,Sigli,regency,False
1108,11,Kabupaten Aceh Utara,Lhoksukon,regency,False
1109,11,Kabupaten Simeulue,Sinabang,regency,False
1110,11,Kabupaten Aceh Singkil,Singkil,regency,False
1111,11,Kabupaten Bireuen,Bireun,regency,False
1112,11,Kabupaten Aceh Barat Daya,Blangpidie,regency,False
1113,11,Kabupaten Gayo Lues,Blangkejeren,regency,False
1114,11,Kabupaten Aceh Jaya,Calang,regency,False
1115,11,Kabupaten Nagan Raya,Suka Makmue,regency,False
1116,11,Kabupaten Aceh Tamiang,Karang Baru,regency,False
1117,11,Kabupaten Bener Meriah,Simpang Tiga Redelong,regency,False
1118,11,Kabupaten Pidie Jaya,Meureundu,regency,False
1171,11,Kota Banda Aceh,Banda Aceh,city,False
1172,11,Kota Sabang Sumatera Utara,Sabang,city,False
1173,11,Kota Lhokseumawe,Lhokseumawe,city,False
1174,11,Kota Langsa,Langsa,city,False
1175,11,Kota Subulussalam Darussalam,Subulussalam,city,False
1201,12,Kabupaten Tapanuli Tengah,Sibolga,regency,False
1202,12,Kabupaten Tapanuli Utara,Tarutung,regency,False
1203,12,Kabupaten Tapanuli Selatan,Padang Sidempuan,regency,False
1204,12,Kabupaten Nias,Gido,regency,False
1205,12,Kabupaten Langkat,Stabat,regency,False
1206,12,Kabupaten Karo,Kabanjahe,regency,False
1207,12,Kabupaten Deli Serdang,Lubuk Pakam,regency,False
1208,12,Kabupaten Simalungun,Raya,regency,False
1209,12,Kabupaten Asahan,Kisaran,regency,False
1210,12,Kabupaten Labuhanbatu,Rantauprapat,regency,False
1211,12,Kabupaten Dairi,Sidikalang,regency,False
1212,12,Kabupaten Toba,Balige,regency,False
1213,12,Kabupaten Mandailing Natal,Panyabungan,regency,False
1214,12,Kabupaten Nias Selatan,Teluk Dalam,regency,False
1215,12,Kabupaten Pakpak Bharat,Salak,regency,False
1216,12,Kabupaten Humbang Hasundutan,Dolok Sanggul,regency,False
1217,12,Kabupaten Samosir Bedagai,Pangururan,regency,False
1218,12,Kabupaten Serdang Bedagai Bedagai,Sei Rampah,regency,False
1219,12,Kabupaten Batu Bara,Lima Puluh,regency,False
1220,12,Kabupaten Padang Lawas Utara,Gunung Tua,regency,False
1221,12,Kabupaten Padang Lawas,Sibuhuan,regency,False
1222,12,Kabupaten Labuhanbatu Selatan,Kotapinang,regency,False
1223,12,Kabupaten Labuhanbatu Utara,Aek Kanopan,regency,False
1224,12,Kabupaten Nias Utara,Lotu,regency,False
1225,12,Kabupaten Nias Barat,Lahomi,regency,False
1271,12,Kota Medan,Medan,city,False
1272,12,Kota Pematangsiantar,Pematang Siantar,city,False
1273,12,Kota Sibolga,Sibolga,city,False
1274,12,Kota Tanjungbalai,Tanjungbalai,city,False
1275,12,Kota Binjai,Binjai,city,False
1276,12,Kota Tebing Tinggi,Kota Tebing Tinggi,city,False
1277,12,Kota Padangsidimpuan,Padangsidimpuan,city,False
1278,12,Kota Gunungsitoli,Gunungsitoli,city,False
1301,13,Kabupaten Pesisir Selatan,Painan,regency,False
1302,13,Kabupaten Solok,Arosuka,regency,False
