code,district_code,name,type
1101012001,110101,Keude Bakongan,village
1101012002,110101,Ujong Mangki,village
1101012003,110101,Ujong Padang,village
1101012004,110101,Gampong Drien,village
1101012015,110101,Darul Ikhsan,village
1101012016,110101,Padang Beurahan,village
1101012017,110101,Gampong Baro,village
1101022001,110102,Fajar Harapan,village
1101022002,110102,Krueng Batee,village
1101022003,110102,Pasi Kuala Asahan,village
1101022004,110102,Gunong Pulo,village
1101022005,110102,Pulo Ie I,village
1101022006,110102,Jambo Manyang,village
1101022007,110102,Simpang Empat,village
1101022008,110102,Limau Purut,village
1101022009,110102,Pulo Kambing,village
1101022010,110102,Kampung Paya,village
1101022011,110102,Krueng Batu,village
1101022012,110102,Krueng Kluet,village
1101022013,110102,Alur Mas,village
1101022014,110102,Kampung Tinggi,village
1101022015,110102,Ruak,village
1101022016,110102,Simpang Lhee,village
1101022017,110102,Suaq Geuringgeng,village
1101022018,110102,Pasi Kuala Ba'u,village
1101022019,110102,Kedai Padang,village
1101022020,110102,Kotafajar,village
1101022021,110102,Gunung Pudung,village
1101032001,110103,Suaq Bakung,village
1101032002,110103,Rantau Binuang,village
1101032003,110103,Barat Daya,village
1101032004,110103,Sialang,village
1101032005,110103,Kapeh,village
1101032006,110103,Pulo Ie,village
1101032007,110103,Kedai Runding,village
1101032008,110103,Kedai Kandang,village
1101032009,110103,Gampong Luar,village
1101032010,110103,Ujung,village
1101032011,110103,Jua,village
1101032012,110103,Pasi Meurapat,village
1101032013,110103,Ujung Pasir,village
1101032014,110103,Geulumbuk,village
1101032015,110103,Pasie Lembang,village
1101032016,110103,Ujung Padang,village
1101032017,110103,Indra Damai,village
1101042001,110104,Bakau Hulu,village
1101042002,110104,Padang Bakau,village
1101042003,110104,Manggis Harapan,village
1101042004,110104,Pasar Lama,village
1101042005,110104,Apha,village
1101042006,110104,Ujung Batu,village
1101042007,110104,Pawoh,village
1101042008,110104,Dalam,village
1101042009,110104,Kota Palak,village
1101042010,110104,Cacang,village
1101042011,110104,Tengah Pisang,village
1101042012,110104,Pisang,village
1101042013,110104,Hulu Pisang,village
1101042014,110104,Tengah Baru,village
1101042015,110104,Lembah Baru,village
1101042016,110104,Padang Baru,village
1101052001,110105,Kuta Buloh II,village
1101052002,110105,Kuta Buloh I,village
1101052003,110105,Ie Dingen,village
1101052004,110105,Drien Jalo,village
1101052005,110105,Jambo Papeun,village
1101052006,110105,Buket Meuh,village
1101052007,110105,Blang Kuala,village
1101052008,110105,Rot Teungoh,village
1101052009,110105,Alue Baro,village
1101052010,110105,Ladang Tuha,village
1101052011,110105,Lhok Mamplam,village
1101052012,110105,Arun Tunggai,village
1101052013,110105,Blang Teungoh,village
1101052014,110105,Blang Bladeh,village
1101052015,110105,Ie Buboh,village
1101052016,110105,Keude Meukek,village
1101052017,110105,Kuta Baro,village
1101052018,110105,Tanjung Harapan,village
1101052019,110105,Labuhan Tarok,village
1101052020,110105,Lhok Aman,village
1101052021,110105,Alue Meutuah,village
1101052022,110105,Ladang Baro,village
1101052023,110105,Labuhan Tarok II,village
1101062001,110106,Dalam,village
1101062002,110106,Subarang,village
1101062003,110106,Kuta Baru,village
1101062004,110106,Gunung Ketek,village
1101062005,110106,Ladang Panton Luas,village
1101062006,110106,Madat,village
1101062007,110106,Alur Seumerah,village
1101062008,110106,Tengah,village
1101062009,110106,Gunung Cut,village
1101062010,110106,Alur Pinang,village
1101062011,110106,Kuta Blang,village
1101062012,110106,Batee Tunggai,village
1101062013,110106,Ujung Tanah,village
1101062014,110106,Ujung Kampung,village
1101062015,110106,Jilatang,village
1101062016,110106,Luar,village
1101062017,110106,Lubuk Layu,village
1101062018,110106,Suaq Hulu,village
1101062019,110106,Tampang,village
1101062020,110106,Payonan Gadang,village
1101062021,110106,Gadang,village
1101062022,110106,Baru,village
1101062023,110106,Ladang Kasik Putih,village
1101062024,110106,Air Sialang Hilir.,village
1101062025,110106,Air Sialang Hulu,village
1101062026,110106,Air Sialang Tengah,village
1101062027,110106,Balai,village
1101062028,110106,Arafah,village
1101072001,110107,Sikulat,village
1101072002,110107,Sawang I,village
1101072003,110107,Meuligo,village
1101072004,110107,Lhok Pawoh,village
1101072005,110107,Sawang II,village
1101072006,110107,Ujung Karang,village
1101072007,110107,Trieng Meuduro Baroh,village
1101072008,110107,Trieng Meuduro Tunong,village
1101072009,110107,Panton Luas,village
1101072010,110107,Simpang Tiga,village
1101072011,110107,Kuta Baro,village
1101072012,110107,Blang Geulinggang,village
1101072013,110107,Mutiara,village
1101072014,110107,Ujung Padang,village
1101072015,110107,Sawang Ba'u,village
1101082001,110108,Lhok Keutapang,village
1101082002,110108,Hilir,village
1101082003,110108,Padang,village
1101082004,110108,Hulu,village
1101082005,110108,Jambo Apha,village
1101082006,110108,Tepi Air,village
1101082007,110108,Pasar,village
1101082008,110108,Lhok Bengkuang,village
1101082009,110108,Panton Luas,village
1101082010,110108,Gunung Kerambil,village
1101082011,110108,Air Berudang,village
1101082012,110108,Batu Itam,village
1101082013,110108,Panjupian,village
1101082014,110108,Lhok Rukam,village
1101082015,110108,Air Pinang,village
1101082016,110108,Lhok Bengkuang Timur,village
1101092001,110109,Keude Trumon,village
1101092002,110109,Ujong Tanoh,village
1101092003,110109,Sigleng,village
1101092004,110109,Ie Meudama,village
1101092005,110109,Teupin Tinggi,village
1101092006,110109,Kuta Baro,village
1101092007,110109,Panton Bilie,village
1101092012,110109,Kuta Padang,village
1101092013,110109,Raket,village
1101092014,110109,Gampong Teungoh,village
1101092015,110109,Seuneubok Jaya,village
1101092016,110109,Padang Harapan,village
1101102001,110110,Ladang Teungoh,village
1101102002,110110,Pucok Krueng,village
1101102003,110110,Silolo,village
1101102004,110110,Kampung Baru,village
1101102005,110110,Panton Bili,village
1101102006,110110,Paya Ateuk,village
1101102007,110110,Ladang Tuha,village
1101102008,110110,Mata Ie,village
1101102009,110110,Ujong Batee,village
1101102010,110110,Lhok Sialang Cut,village
1101102011,110110,Seuneubok,village
1101102012,110110,Ie Mirah,village
1101102013,110110,Pasie Rasian,village
1101102014,110110,Ujung Padang Rasian,village
1101102015,110110,Krueng Kalee,village
1101102016,110110,Lhok Sialang Rayeuk,village
1101102017,110110,Gampong Baro,village
1101102018,110110,Teupin Gajah,village
1101102019,110110,Ujung Padang Asahan,village
1101102020,110110,Pulo Ie II,village
1101102021,110110,Pante Raja,village
1101112001,110111,Tengah Peulumat,village
1101112002,110111,Paya Peulumat,village
1101112003,110111,Padang Peulumat,village
1101112004,110111,Aur Peulumat,village
1101112005,110111,Limau Saring,village
1101112006,110111,Beutong,village
1101112007,110111,Peuneulop,village
1101112008,110111,Gunung Rotan,village
1101112009,110111,Keumumu Hilir,village
1101112010,110111,Keumumu Hulu,village
1101112011,110111,Keumumu Seberang,village
1101112012,110111,Sawang Indah,village
1101122001,110112,Tutong,village
1101122002,110112,Teungoh Iboh,village
1101122003,110112,Peulokan,village
1101122004,110112,Kuta Iboh,village
1101122005,110112,Ujung Padang,village
1101122006,110112,Blang Baru,village
1101122007,110112,Blang Poroh,village
1101122008,110112,Pulo Ie,village
1101122009,110112,Suak Lokan,village
1101122010,110112,Iku Lhueng,village
1101122011,110112,Kuta Trieng,village
1101122012,110112,Pante Geulima,village
1101122013,110112,Panton Pawoh,village
1101122014,110112,Batee Meucanang,village
1101122015,110112,Panton Rubek,village
1101132001,110113,Koto,village
1101132002,110113,Alur Keujrun,village
1101132003,110113,Jambo Papan,village
1101132004,110113,Malaka,village
1101132005,110113,Koto Indarung,village
1101132006,110113,Siurai-Urai,village
1101132007,110113,Kampung Sawah,village
1101132008,110113,Kampung Padang,village
1101132009,110113,Pulo Air,village
1101132010,110113,Lawe Melang,village
1101132011,110113,Mersak,village
1101132012,110113,Simpang Dua,village
1101132013,110113,Simpang Tiga,village
1101142001,110114,Paya Dapur,village
1101142002,110114,Sapik,village
1101142003,110114,Alai,village
1101142004,110114,Durian Kawan,village
1101142005,110114,Lawe Sawah,village
1101142006,110114,Lawe Buluh Didi,village
1101142007,110114,Pucuk Lembang,village
1101142008,110114,Paya Laba,village
1101142009,110114,Lawe Cimanok,village
1101152001,110115,Pasie Seubadeh,village
1101152002,110115,Ladang Rimba,village
1101152003,110115,Ujong Pulo Rayeuk,village
1101152004,110115,Sawah Tingkeum,village
1101152005,110115,Simpang,village
1101152006,110115,Ujong Pulo Cut,village
1101152008,110115,Seuleukat,village
1101162005,110116,Pinto Rimba,village
1101162006,110116,Krueng Luas,village
1101162007,110116,Jambo Dalem,village
1101162008,110116,Kapa Sesak,village
1101162009,110116,Seuneubok Punto,village
1101162010,110116,Seuneubok Pusaka,village
1101162011,110116,Alur Bujok,village
1101162012,110116,Titi Poben,village
1101172001,110117,Buket Gadeng,village
1101172002,110117,Rambong,village
1101172003,110117,Seuneubok Keuranji,village
1101172004,110117,Seuneubok Alur Buloh,village
1101172005,110117,Ujong Tanoh,village
1101172006,110117,Ujong Gunong Cut,village
1101172007,110117,Ujong Gunung Rayeuk,village
1101172008,110117,Beutong,village
1101172009,110117,Jambo Keupok,village
1101172010,110117,Alurduamas,village
1101182001,110118,Ladang Rimba,village
1101182002,110118,Gunong Kapho,village
